artist,artist_bandcamp,location_bandcamp,origin
Roy Orbison,Roy Orbison,"Nashville, Tennessee","Vernon, TX, United States"
Rufus Wainwright,Rufus Wainwright,"Los Angeles, California","Rhinebeck, New York, U.S."
Run Kid Run,Run Kid Run,"Saint Louis, Missouri","Carmi, Illinois, U.S."
Russian Circles,Russian Circles,"Chicago, Illinois","Chicago, Illinois, U.S."
Rwake,Rwake,"Little Rock, Arkansas","North Little Rock, Arkansas, United States"
Ry Cooder,Ry Cooder,"Santa Monica, California","Santa Monica, California, U.S."
Sabbat,Sabbat,Japan,"Nottingham, England"
Sacrilege,Sacrilege,Iceland,"Birmingham, England"
Sagittarius,Sagittarius,Germany,"Los Angeles, CA, United States"
Sailors With Wax Wings,Sailors With Wax Wings,"Denton, Texas","Denton, TX, United States"
Saint Vitus,Saint Vitus,"Los Angeles, California","Los Angeles, California, U.S."
Sam Prekop,Sam Prekop,"Chicago, Illinois","London, England"
Samhain,Samhain,"England, UK","Lodi, New Jersey"
Samothrace,Samothrace,"Seattle, Washington","Seattle, WA"
Sanctity,Sanctity,"New York, New York","Asheville, North Carolina, U.S."
Sandy Bull,Sandy Bull,Tennessee,"New York City, New York, U.S."
Santana,Santana,"Las Palmas De Gran Canaria, Spain","San Francisco, California, U.S."
Sarah Fimm,Sarah Fimm,"Woodstock, New York","Tulsa, Oklahoma, U.S."
Sarpanitum,Sarpanitum,"Birmingham, UK","Birmingham, West Midlands, United Kingdom"
Sasquatch,Sasquatch,Uruguay,"Los Angeles, California, U.S."
Save Ferris,Save Ferris,"St. Louis, Missouri","Orange County, California, United States"
Saving Abel,Saving Abel,"Corinth, Greece","Corinth, Mississippi, U.S."
Saxon Shore,Saxon Shore,"Los Angeles, California","Philadelphia, Pennsylvania, United States"
Say Anything,Say Anything,"Los Angeles, California","Los Angeles, California, U.S."
Scarlet,Scarlet,"Newport, Rhode Island","Richmond, VA, United States"
Scary Kids Scaring Kids,Scary Kids Scaring Kids,"Gilbert, Arizona","Gilbert, Arizona, U.S."
School of Seven Bells,School of Seven Bells,"New York, New York","New York City, New York, US"
Scissor Sisters,Scissor Sisters,,"New York City, U.S."
Scorn,Scorn,"Guelph, Ontario","Birmingham, England"
Scott Kelly,Scott Kelly,"San Francisco, California","Oakland, California, U.S."
Scott Stapp,Scott Stapp,,"Orlando, Florida, U.S."
Scott Walker,Scott Walker,UK,"Hamilton, Ohio, U.S."
Scratch Acid,Scratch Acid,"Austin, Texas","Austin, Texas, U.S."
Scream,Scream,"Washington, D.C.","Alexandria, Virginia, U.S."
Screaming Females,Screaming Females,"New Brunswick, New Jersey","New Brunswick, New Jersey, United States"
Screaming Trees,Screaming Trees,"Ellensburg, Washington","Ellensburg, Washington, U.S."
Screeching Weasel,Screeching Weasel,"Chicago, Illinois","Prospect Heights, Illinois, U.S."
Sea Wolf,Sea Wolf,"Los Angeles, California","Los Angeles, California, United States"
Seam,Seam,"Chicago, Illinois","Chapel Hill, North Carolina, United States"
Seaweed,Seaweed,"Tacoma, Washington","Tacoma, Washington, United States"
Sebadoh,Sebadoh,,"Northampton, Massachusetts, U.S."
Secret Machines,Secret Machines,"New York, New York","Dallas, Texas, United States"
Secret Shine,Secret Shine,"Bristol, UK","Bristol, England"
Sense Field,Sense Field,"Los Angeles, California","California, United States"
Senser,Senser,"London, UK","London, England"
Senses Fail,Senses Fail,New Jersey,"Ridgewood, New Jersey, U.S."
Seven Mary Three,Seven Mary Three,"Orlando, Florida","Williamsburg, Virginia, United States"
Sevendust,Sevendust,"Atlanta, Georgia","Atlanta, Georgia, U.S."
Seventh Day Slumber,Seventh Day Slumber,"Nashville, Tennessee","Dallas, Texas, U.S."
Seventh Void,Seventh Void,"New York, New York","Brooklyn, New York, U.S."
Shadow Gallery,Shadow Gallery,,"Lehigh Valley, Pennsylvania, U.S."
Shai Hulud,Shai Hulud,"Pompano Beach, Florida","Pompano Beach, Florida, U.S."
Sharon Van Etten,Sharon Van Etten,"New York, New York","Belleville, New Jersey, U.S."
Shearwater,Shearwater,"Austin, Texas","Austin, Texas"
Shellac,Shellac,"Chicago, Illinois","Chicago, Illinois, U.S."
Sheryl Crow,Sheryl Crow,"Nashville, Tennessee","Kennett, Missouri, U.S."
Shiner,Shiner,"Brooklyn, New York","Kansas City, Missouri, United States"
Shipping News,Shipping News,"Louisville, Kentucky","Louisville, Kentucky"
Sholi,Sholi,"San Francisco, California","Davis, CA, United States"
Showbread,Showbread,"Portland, Oregon","Guyton, Georgia, U.S."
Shudder To Think,Shudder To Think,"Washington, D.C.","Washington, D.C., United States"
Shuggie Otis,Shuggie Otis,"Los Angeles, California","Los Angeles, California, U.S."
Silkworm,Silkworm,New Zealand,"Missoula, Montana, U.S."
Silver Jews,Silver Jews,"Nashville, Tennessee","Hoboken, New Jersey, U.S."
Silversun Pickups,Silversun Pickups,"Los Angeles, California","Los Angeles, US"
Simply Red,Simply Red,"Manchester, UK","Manchester, England"
Sinch,Sinch,Philadelphia,"Doylestown, Pennsylvania, U.S."
Sioum,Sioum,"Chicago, Illinois","Chicago, IL, United States"
Sissy Spacek,Sissy Spacek,"Los Angeles, California","California, U.S."
Six Feet Under,Six Feet Under,"Tampa, Florida","Tampa, Florida, U.S."
Six Finger Satellite,Six Finger Satellite,Rhode Island,"Providence, Rhode Island, U.S."
Six Gallery,Six Gallery,"Columbus, Ohio","Athens, OH, United States"
Skeletonwitch,Skeletonwitch,"Athens, Ohio","Athens, Ohio, U.S."
Skindred,Skindred,"Wales, UK","Newport, Wales"
Skinless,Skinless,"Moreau, New York","South Glens Falls, New York, U.S."
Skunk Anansie,Skunk Anansie,"London, UK","London, England"
Skyhill,Skyhill,"Brooklyn, New York","Philadelphia, Pennsylvania, U.S."
Skywave,Skywave,"Edinburgh, UK","Fredericksburg, VA, United States"
Slayer,Slayer,"Huntington Park, California","Huntington Park, California, U.S."
Sleep,Sleep,"San Jose, California","San Jose, California, U.S."
Sleepercar,Sleepercar,"El Paso, Texas","El Paso, Texas, USA"
Sleeping Giant,Sleeping Giant,"Reykjavík, Iceland","Redlands, California, United States"
Sleeping People,Sleeping People,"San Diego, California","San Diego, California"
Sleigh Bells,Sleigh Bells,"New York, New York","Brooklyn, New York, US"
Slightly Stoopid,Slightly Stoopid,Ocean Beach,"San Diego, California, U.S."
Slint,Slint,"Louisville, Kentucky","Louisville, Kentucky, U.S."
Slowdive,Slowdive,UK,"Reading, Berkshire, England"
Smart Went Crazy,Smart Went Crazy,"Washington, D.C.","Washington DC, United States"
Smog,Smog,"Austin, Texas","Silver Spring, Maryland, U.S."
Sneaker Pimps,Sneaker Pimps,"Los Angeles, California","Hartlepool, County Durham, England"
Snot,Snot,"Lexington, North Carolina","Santa Barbara, California, U.S."
Snowing,Snowing,Philadelphia,"Lehigh Valley, PA, United States"
Snuff,Snuff,"Los Angeles, California","Hendon, Greater London, United Kingdom"
So Many Dynamos,So Many Dynamos,"St Louis, Missouri","Edwardsville, IL, United States"
Social Distortion,Social Distortion,"Los Angeles, California","Fullerton, California, U.S."
Soilent Green,Soilent Green,"Düsseldorf, Germany","New Orleans, Louisiana, U.S."
Some Girls,Some Girls,"San Diego, California","San Diego, CA"
Son Volt,Son Volt,"St. Louis, Missouri","Belleville, Illinois, U.S."
Son of Aurelius,Son of Aurelius,"Santa Cruz, California","Santa Cruz, CA"
Sonic Youth,Sonic Youth,"New York, New York","New York City, U.S."
Soul Asylum,Soul Asylum,"Los Angeles, California","Minneapolis, Minnesota, U.S."
Soul Embraced,Soul Embraced,"Little Rock, Arkansas","Little Rock, Arkansas, U.S."
Soulfly,Soulfly,Phoenix,"Phoenix, Arizona, U.S."
Soundgarden,Soundgarden,"Seattle, Washington","Seattle, Washington, U.S."
Sparklehorse,Sparklehorse,"Richmond, Virginia","Richmond, Virginia, U.S."
Sparta,Sparta,"El Paso, Texas","El Paso, Texas"
Spazz,Spazz,"Bethlehem, Pennsylvania","Redwood City, California"
Spires,Spires,Tampa,"Manchester, England"
Spirit,Spirit,"Asheville, North Carolina","Los Angeles, California, U.S."
Spraynard,Spraynard,"West Chester, Pennsylvania","West Chester, Pennsylvania"
Spring,Spring,"Leeds, UK","Leicester, Leicestershire, United Kingdom"
Squarepusher,Squarepusher,UK,"Chelmsford, Essex, England"
Squeeze,Squeeze,"Boston, Massachusetts","London, England"
Stabbing Westward,Stabbing Westward,"Los Angeles, California","Macomb, Illinois, U.S."
Star Fucking Hipsters,Star Fucking Hipsters,"New York, New York",New York City
Starflyer 59,Starflyer 59,California,"Riverside, California"
Starkweather,Starkweather,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
State Radio,State Radio,"Boston, Massachusetts","Sherborn, Massachusetts, U.S."
Steel Panther,Steel Panther,"Los Angeles, California","Los Angeles, California, U.S."
Steel Train,Steel Train,,"New Jersey, USA"
Steely Dan,Steely Dan,,"Annandale-on-Hudson, New York, United States"
Stepa,Stepa,"Belgrade, Serbia","Thousand Oaks, California"
Stephen Malkmus,Stephen Malkmus,"Portland, Oregon","Stockton, California"
Stereolab,Stereolab,"London, UK","London, England"
Steve Earle,Steve Earle,"Nashville, Tennessee","San Antonio, Texas, U.S."
Steve Hillage,Steve Hillage,"London, UK","Chingford, Essex, England"
Steve Vai,Steve Vai,California,"Carle Place, New York, U.S."
Steve Von Till,Steve Von Till,,"Oakland, CA, United States"
Stiff Little Fingers,Stiff Little Fingers,"Belfast, UK","Belfast, Northern Ireland"
Stolen Babies,Stolen Babies,California,"California, United States"
Stone Sour,Stone Sour,"Des Moines, Iowa","Des Moines, Iowa, U.S."
Stornoway,Stornoway,"Oxford, UK","Oxford, Oxfordshire, England"
Straight Line Stitch,Straight Line Stitch,"Knoxville, Tennessee","Knoxville, Tennessee, U.S."
Strand of Oaks,Strand of Oaks,"Austin, Texas","Goshen, Indiana, U.S."
Strawberry Alarm Clock,Strawberry Alarm Clock,"Los Angeles, California","Glendale, California, United States"
Strawbs,Strawbs,"Hastings, UK","London, England"
Stray Cats,Stray Cats,"Southaven, Mississippi","Massapequa, New York, U.S."
Straylight Run,Straylight Run,New York,"Baldwin, New York, United States"
Stretch Arm Strong,Stretch Arm Strong,"New York, New York","Columbia, South Carolina, U.S."
Strictly Ballroom,Strictly Ballroom,"Tannum Sands, Australia","Los Angeles, California"
Strife,Strife,"Norfolk, UK","Thousand Oaks, California, U.S."
Strike Anywhere,Strike Anywhere,"Richmond, Virginia","Richmond, Virginia, United States"
Strung Out,Strung Out,"Los Angeles, California","Simi Valley, California, U.S."
Stryper,Stryper,"La Mirada, California","La Mirada, California, U.S."
Stuck Mojo,Stuck Mojo,"Atlanta, Georgia","Atlanta, Georgia, U.S."
Sucioperro,Sucioperro,UK,"Ayr, South Ayrshire, Scotland"
Suede,Suede,"Seattle, Washington","London, England"
Suffocation,Suffocation,"New York, New York","Centereach, New York, U.S."
Sufjan Stevens,Sufjan Stevens,"New York, New York","Detroit, Michigan, U.S."
Suicidal Tendencies,Suicidal Tendencies,"New York, New York","Venice, California, U.S."
Sundowner,Sundowner,New Zealand,"Chicago, Illinois, U.S."
Sunny Day Real Estate,Sunny Day Real Estate,"Seattle, Washington","Seattle, Washington, U.S."
Superchunk,Superchunk,"Chapel Hill, North Carolina","Chapel Hill, North Carolina, U.S."
Suzanne Vega,Suzanne Vega,"New York, New York","New York City, U.S."
Swarm of the Lotus,Swarm of the Lotus,"Baltimore, Maryland","Baltimore, MD, United States"
Sweet Trip,Sweet Trip,"San Francisco, California","San Francisco, California, United States"
Swervedriver,Swervedriver,UK,"Oxford, England"
Swirlies,Swirlies,"Malmö, Sweden","Boston, MA, United States"
Switchblade Symphony,Switchblade Symphony,"San Francisco, California","San Francisco, California, U.S."
Switched,Switched,"Caen, France","Cleveland, Ohio, U.S."
Switchfoot,Switchfoot,"San Diego, California","San Diego, California, U.S."
Sworn Enemy,Sworn Enemy,"Queens, New York","Queens, New York, U.S."
Sylosis,Sylosis,"Reading, UK","Reading, Berkshire, England"
Systematic,Systematic,"Grand Rapids, Michigan","Oakland, California, U.S."
TV on the Radio,TV on the Radio,"New York, New York","Brooklyn, New York, U.S."
Taken,Taken,"Berlin, Germany","Yorba Linda, CA, United States"
Taking Back Sunday,Taking Back Sunday,New York,"Amityville, New York, U.S."
Tally Hall,Tally Hall,,"Ann Arbor, Michigan, U.S."
Tarentel,Tarentel,"San Francisco, California",San Francisco
Team Dresch,Team Dresch,"Portland, Oregon","Olympia, Washington"
Teenage Bottlerocket,Teenage Bottlerocket,"Laramie, Wyoming","Laramie, Wyoming, United States"
Teenage Fanclub,Teenage Fanclub,"Bellshill, UK","Bellshill, Scotland"
Telekinesis,Telekinesis,"Seattle, Washington",Seattle
Television,Television,"New York, New York","New York City, New York, U.S."
Television Personalities,Television Personalities,"London, UK","London, England"
Tellison,Tellison,"London, UK","London, England"
Ten Foot Pole,Ten Foot Pole,"Simi Valley, California","Simi Valley, California, U.S."
Ten Years After,Ten Years After,"London, UK","Nottingham, England"
Tenacious D,Tenacious D,"Los Angeles, California","Los Angeles, California, U.S."
Tera Melos,Tera Melos,"Sacramento, California","Sacramento, California, U.S."
Terror,Terror,"Los Angeles, California","Los Angeles, California, U.S."
Terrorizer,Terrorizer,"Los Angeles, California","Los Angeles, California, U.S."
Test Icicles,Test Icicles,"London, UK","London, England"
Texas Hippie Coalition,Texas Hippie Coalition,"Denison, Texas","Denison, Texas, U.S."
Texas Is The Reason,Texas Is The Reason,"New York, New York","New York City, U.S."
Thanatopsis,Thanatopsis,New Jersey,"Chatsworth, CA, United States"
That Handsome Devil,That Handsome Devil,"Brooklyn, New York","Boston, Massachusetts, U.S."
The Acacia Strain,The Acacia Strain,Connecticut,"Chicopee, Massachusetts, U.S."
The Adicts,The Adicts,UK,"Ipswich, Suffolk, England"
The Afghan Whigs,The Afghan Whigs,"Cincinnati, Ohio","Cincinnati, Ohio, U.S."
The Airborne Toxic Event,The Airborne Toxic Event,"Los Angeles, California","Los Angeles, California, U.S."
The Alan Parsons Project,The Alan Parsons Project,"London, UK","London, England"
The Album Leaf,The Album Leaf,"Los Angeles, California","San Diego, CA, United States"
The Almost,The Almost,"Clearwater, Florida","Clearwater, Florida, U.S."
The American Analog Set,The American Analog Set,"Austin, Texas","Austin, Texas"
The American Dollar,The American Dollar,New York,"Queens, New York, United States"
The Analyst,The Analyst,"Brighton And Hove, UK","South Bend, Indiana"
The Angelic Process,The Angelic Process,,"Athens, Georgia, U.S."
The Answer,The Answer,,"Downpatrick, Northern Ireland"
The Antlers,The Antlers,New York,"New York City, U.S."
The Arusha Accord,The Arusha Accord,"Reading, UK","Reading, Berkshire, England"
The Ascent of Everest,The Ascent of Everest,"Nashville, Tennessee","Nashville, Tennessee"
The Associates,The Associates,,"Dundee, Scotland"
The Ataris,The Ataris,,"Anderson, Indiana, U.S."
The Atomic Bitchwax,The Atomic Bitchwax,New Jersey,"Neptune, New Jersey, U.S."
The Avett Brothers,The Avett Brothers,"Concord, North Carolina","Concord, North Carolina, U.S."
The Beau Brummels,The Beau Brummels,"San Francisco, California","San Francisco, California, United States"
The Beautiful Mistake,The Beautiful Mistake,"San Diego, California","San Diego, California"
The Beta Band,The Beta Band,"Scotland, UK","St Andrews, Fife, Scotland"
The Bird And The Bee,The Bird And The Bee,"Los Angeles, California","Los Angeles, CA, United States"
The Black Dahlia Murder,The Black Dahlia Murder,"Detroit, Michigan","Waterford, Michigan, U.S."
The Black Heart Procession,The Black Heart Procession,"San Diego, California","San Diego, California, United States"
The Black Keys,The Black Keys,"Akron, Ohio","Akron, Ohio, U.S."
The Blue Letter,The Blue Letter,"Richmond, Virginia","Richmond, Virginia"
The Boo Radleys,The Boo Radleys,UK,"Wallasey, England"
The Breathing Process,The Breathing Process,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania"
The Breeders,The Breeders,"Dayton, Ohio","Dayton, Ohio, U.S."
The Brobecks,The Brobecks,"Salt Lake City, Utah","Salt Lake City, Utah, U.S."
The Bronx,The Bronx,"Los Angeles, California","Los Angeles, California, U.S."
The Browning,The Browning,"Kansas City, Missouri","Kansas City, Missouri, U.S."
The Bunny The Bear,The Bunny The Bear,Buffalo,"Buffalo, New York"
The Casket Lottery,The Casket Lottery,"Kansas City, Missouri","Kansas City, Missouri"
The Casualties,The Casualties,"New York, New York","New York City, New York, U.S."
The Chariot,The Chariot,"Atlanta, Georgia","Douglasville, Georgia, U.S."
The Charlatans,The Charlatans,"London, UK","Wednesbury, West Midlands, United Kingdom"
The Chocolate Watchband,The Chocolate Watchband,"Los Altos, California","Los Altos, California, U.S."
The Classic Crime,The Classic Crime,"Seattle, Washington","Seattle, Washington, US"
The Clientele,The Clientele,"London, UK","London, England"
The Color Fred,The Color Fred,"West Chester, Pennsylvania","West Chester, Pennsylvania, United States"
The Company Band,The Company Band,"Los Angeles, California","Los Angeles, California, U.S."
The Contortionist,The Contortionist,"London, UK","Indianapolis, Indiana, U.S."
The County Medical Examiners,The County Medical Examiners,"Philadelphia, Pennsylvania","Scotts Valley, California, U.S."
The Creatures,The Creatures,"Gothenburg, Sweden","London, England"
The Cribs,The Cribs,"Wakefield, UK","Wakefield, England"
The Cult,The Cult,"Los Angeles, California","Bradford, England"
The Dangerous Summer,The Dangerous Summer,"Ellicott City, Maryland","Ellicott City, Maryland, U.S."
The Daysleepers,The Daysleepers,"Buffalo, New York","Buffalo, NY, United States"
The Dead Milkmen,The Dead Milkmen,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
The Deadlights,The Deadlights,,"Long Beach, California, United States"
The Decemberists,The Decemberists,"Portland, Oregon","Portland, Oregon, U.S."
The Delgados,The Delgados,"Glasgow, UK","Glasgow, Scotland"
The Depreciation Guild,The Depreciation Guild,"New York, New York","Brooklyn, New York, U.S."
The Devil Makes Three,The Devil Makes Three,"Burlington, Vermont","Santa Cruz, California"
The Dickies,The Dickies,"Los Angeles, California","San Fernando Valley, California"
The Dictators,The Dictators,"New York, New York","New York City, U.S."
The Dirtbombs,The Dirtbombs,"Detroit, Michigan","Detroit, Michigan, U.S."
The Dismemberment Plan,The Dismemberment Plan,"Washington, D.C.","Washington, D.C., U.S."
The Distillers,The Distillers,"Los Angeles, California","Los Angeles, California, U.S."
The Doors,The Doors,"Los Angeles, California","Los Angeles, California, U.S."
The Dopamines,The Dopamines,Cincinnati,"Cincinnati, Ohio"
The Dream Syndicate,The Dream Syndicate,"Los Angeles, California","Los Angeles, California, United States"
The Drift,The Drift,"San Francisco, California","San Francisco, CA, United States"
The Drums,The Drums,Oroville,"Brooklyn, New York, U.S."
The Durutti Column,The Durutti Column,"Manchester, UK","Greater Manchester, England"
The Early November,The Early November,"Hammonton, New Jersey","Hammonton, New Jersey, U.S."
The Enid,The Enid,"Northampton, UK","Tenterden, Kent, United Kingdom"
The Envy Corps,The Envy Corps,"Des Moines, Iowa","Ames, Iowa, U.S."
The Expendables,The Expendables,"Santa Cruz, California","Santa Cruz, CA, United States"
The Exploding Hearts,The Exploding Hearts,"Portland, Oregon","Portland, Oregon, United States"
The Explosion,The Explosion,"Boston, Massachusetts","Boston, Massachusetts, United States"
The Faceless,The Faceless,"Los Angeles, California","Encino, Los Angeles, California, U.S."
The Faint,The Faint,"Omaha, Nebraska","Omaha, Nebraska"
The Fall of Troy,The Fall of Troy,"Mukilteo, Washington","Mukilteo, Washington, U.S."
The Feelies,The Feelies,"Haledon, New Jersey","Haledon, New Jersey, United States"
The Feeling,The Feeling,"London, UK","Horsham, Sussex, England"
The Field Mice,The Field Mice,"London, UK","London, England"
The Fiery Furnaces,The Fiery Furnaces,"New York, New York","New York City, New York, U.S."
The Firm,The Firm,"Essex, UK","London, England"
The Flesh Eaters,The Flesh Eaters,"Los Angeles, California","Los Angeles, California, United States"
The Flying Luttenbachers,The Flying Luttenbachers,"Chicago, Illinois","Chicago, Illinois, U.S."
The Fold,The Fold,"Houston, Texas","Chicago, Illinois, United States"
The For Carnation,The For Carnation,"Louisville, Kentucky","Louisville, Kentucky, U.S."
The Format,The Format,"Phoenix, Arizona","Peoria, Arizona, U.S."
The Fratellis,The Fratellis,"Scotland, UK","Glasgow, Scotland"
The Front Bottoms,The Front Bottoms,New Jersey,"Woodcliff Lake, New Jersey, U.S."
The Futureheads,The Futureheads,"Sunderland, UK","Sunderland, England"
The Gaslight Anthem,The Gaslight Anthem,"New Brunswick, New Jersey","New Brunswick, New Jersey, United States"
The Get Up Kids,The Get Up Kids,"Lawrence, Kansas","Kansas City, U.S."
The Ghost Inside,The Ghost Inside,"Los Angeles, California","El Segundo, California, U.S."
The Gits,The Gits,"Seattle, Washington","Seattle, Washington, U.S."
The Good Life,The Good Life,"Omaha, Nebraska","Omaha, Nebraska, United States"
The Graduate,The Graduate,"Springfield, Illinois","Springfield, Illinois"
The Great Commission,The Great Commission,"Burlington, Ontario","Riverside, California, U.S."
The Groundhogs,The Groundhogs,"London, UK","New Cross, Greater London, United Kingdom"
The Halo Benders,The Halo Benders,"Olympia, Washington","Olympia, Washington, U.S."
The Handsome Family,The Handsome Family,"Albuquerque, New Mexico","Chicago, Illinois, US"
The Heavy,The Heavy,,"Bath, Somerset, England"
The Helio Sequence,The Helio Sequence,"Portland, Oregon","Beaverton, Oregon"
The Higher,The Higher,"Las Vegas, Nevada","Las Vegas, NV, United States"
The Hold Steady,The Hold Steady,"Brooklyn, New York","Brooklyn, New York, U.S."
The Hope Conspiracy,The Hope Conspiracy,"Boston, Massachusetts","Boston, Massachusetts, U.S."
The Horrors,The Horrors,"Cedar Rapids, Iowa","Southend-on-Sea, Essex, England"
The Hush Sound,The Hush Sound,"Los Angeles, California","Urbana, Illinois, United States"
The Jayhawks,The Jayhawks,"Minneapolis, Minnesota","Minneapolis, Minnesota"
The Jesus Lizard,The Jesus Lizard,"Chicago, Illinois","Austin, Texas, U.S."
The Jim Yoshii Pile-Up,The Jim Yoshii Pile-Up,"Oakland, California","Oakland, CA, United States"
The Kills,The Kills,,"London, England"
The King Blues,The King Blues,"London, UK","London, England"
The Knack,The Knack,"Los Angeles, California","Los Angeles, California, U.S."
The Lawrence Arms,The Lawrence Arms,"Chicago, Illinois","Chicago, Illinois"
The Letter Black,The Letter Black,"Uniontown, Pennsylvania","Uniontown, Pennsylvania, U.S."
The Life and Times,The Life and Times,"Chicago, Illinois","Kansas City, Missouri, United States"
The Lillingtons,The Lillingtons,"Newcastle, Wyoming","Newcastle, Wyoming, United States"
The Limousines,The Limousines,"San Francisco, California","San Francisco, CA, United States"
The Locust,The Locust,"San Diego, California","San Diego, California, U.S."
The Long Blondes,The Long Blondes,"Sheffield, UK","Sheffield, England"
The Loved Ones,The Loved Ones,"Philadelphia, Pennsylvania","Philadelphia, PA"
The Low Anthem,The Low Anthem,"Providence, Rhode Island","Providence, Rhode Island, U.S."
The Mae Shi,The Mae Shi,"Los Angeles, California","Los Angeles, California, United States"
The Magnetic Fields,The Magnetic Fields,"New York, New York","Boston, Massachusetts, U.S."
The Main Drag,The Main Drag,"Cambridge, Massachusetts","Boston, Massachusetts, U.S."
The Max Levine Ensemble,The Max Levine Ensemble,"Washington D.C., D.C.","Washington, D.C."
The Meads of Asphodel,The Meads of Asphodel,UK,"Hertfordshire, England"
The Menzingers,The Menzingers,"Scranton, Pennsylvania","Scranton, Pennsylvania, U.S."
The Mercury Program,The Mercury Program,"Gainesville, Florida","Gainesville, Florida, U.S."
The Minor Times,The Minor Times,,"Philadelphia, PA"
The Movielife,The Movielife,New York,"Long Island, New York, U.S."
The Myriad,The Myriad,Florida,"Seattle, Washington, U.S."
The Myrrors,The Myrrors,"Tucson, Arizona","Phoenix, AZ, United States"
The National,The National,"Brooklyn, New York","Cincinnati, Ohio, U.S."
The Network,The Network,,"Oakland, California, U.S."
The Nice,The Nice,,"London, England"
The Obsessed,The Obsessed,"Washington, D.C.","Potomac, Maryland, U.S."
The Octopus Project,The Octopus Project,"Austin, Texas","Austin, Texas, United States"
The Offspring,The Offspring,California,"Garden Grove, California, U.S.[2]"
The Pains of Being Pure at Heart,The Pains of Being Pure at Heart,"New York, New York","New York City, New York, U.S."
The Parlor Mob,The Parlor Mob,"Asbury Park, New Jersey","Asbury Park, New Jersey, U.S."
The Pipettes,The Pipettes,"Brighton, UK","Brighton, England"
The Plot To Blow Up The Eiffel Tower,The Plot To Blow Up The Eiffel Tower,"San Diego, California","Loraine, California, United States"
The Polyphonic Spree,The Polyphonic Spree,"Dallas, Texas","Dallas, Texas, United States"
The Postal Service,The Postal Service,"Seattle, Washington","Seattle, Washington, U.S."
The Pretty Reckless,The Pretty Reckless,"New York, New York","New York City, U.S."
The Pretty Things,The Pretty Things,"London, UK","London, England"
The Prize Fighter Inferno,The Prize Fighter Inferno,"Brooklyn, New York","Valley Cottage, New York, USA"
The Protomen,The Protomen,"Nashville, Tennessee","Murfreesboro, Tennessee, U.S."
The Psychedelic Furs,The Psychedelic Furs,"London, UK","London, England United Kingdom"
The Queers,The Queers,"Philadelphia, Pennsylvania","Portsmouth, New Hampshire"
The Raconteurs,The Raconteurs,"Nashville, Tennessee","Detroit, Michigan, U.S."
The Raincoats,The Raincoats,"London, UK","London, England"
The Rapture,The Rapture,Texas,"New York, New York, United States"
The Red Chord,The Red Chord,"Boston, Massachusetts","Revere, Massachusetts, U.S."
The Rentals,The Rentals,"Los Angeles, California","Santa Monica, California, U.S."
The Residents,The Residents,"San Francisco, California","Shreveport, Louisiana, U.S."
The Riot Before,The Riot Before,Richmond,"Richmond, VA, United States"
The Rocket Summer,The Rocket Summer,"Dallas, Texas","Dallas–Fort Worth, Texas, United States"
The Saddest Landscape,The Saddest Landscape,,"Boston, Massachusetts, U.S."
The Shaggs,The Shaggs,"Fremont, New Hampshire","Fremont, New Hampshire, US"
The Shins,The Shins,"Portland, Oregon","Albuquerque, New Mexico, U.S."
The Sidekicks,The Sidekicks,"Oss, Netherlands","Columbus, Ohio, USA"
The Six Parts Seven,The Six Parts Seven,"Kent, Ohio","Kent, Ohio, U.S."
The Sleeping,The Sleeping,"New York, New York","Long Island, New York, U.S."
The Slits,The Slits,"New York, New York","London, England"
The Smashing Pumpkins,The Smashing Pumpkins,"Chicago, Illinois","Chicago, Illinois, U.S."
The Soft Boys,The Soft Boys,"Cambridge, UK","Cambridge, England"
The Soft Moon,The Soft Moon,"Los Angeles, California","Oakland, California"
The Sonics,The Sonics,"Seattle, Washington","Tacoma, Washington, U.S."
The Sound of Animals Fighting,The Sound of Animals Fighting,"Dallas, Texas","Los Angeles, California, U.S."
The Spill Canvas,The Spill Canvas,"Sioux Falls, South Dakota","Sioux Falls, South Dakota"
The Starting Line,The Starting Line,"Philadelphia, Pennsylvania","Churchville, Pennsylvania, U.S."
The State Lottery,The State Lottery,"Detroit, Michigan","Detroit, Michigan"
The Stooges,The Stooges,"Ann Arbor, Michigan","Ann Arbor, Michigan, U.S."
The Subways,The Subways,"England, UK","Welwyn Garden City, Hertfordshire, England"
The Suicide Machines,The Suicide Machines,"Detroit, Michigan","Detroit, Michigan, United States"
The Sundays,The Sundays,"West Hartford, Connecticut","Bristol, England"
The Swellers,The Swellers,"Flint, Michigan","Flint, Michigan"
The Sword,The Sword,"Austin, Texas","Austin, Texas, U.S."
The Thermals,The Thermals,"Portland, Oregon","Portland, Oregon, United States"
The Twilight Sad,The Twilight Sad,"Glasgow, UK","Kilsyth, Scotland"
The Undertones,The Undertones,"Northern Ireland, UK","Derry, Northern Ireland"
The United States of America,The United States of America,"Los Angeles, California","Los Angeles, California, U.S."
The Unseen,The Unseen,"London, UK","Hingham, Massachusetts, U.S."
The Used,The Used,"Orem, Utah","Orem, Utah, U.S."
The Van Pelt,The Van Pelt,New Jersey,"New York City, United States"
